hello | -1
int | -1
IDENTIFIER | (7, 0)
; | -1
int | -1
IDENTIFIER | (8, 0)
; | -1
BEGIN | -1
IDENTIFIER | (7, 0)
= | -1
read | -1
( | -1
) | -1
IDENTIFIER | (8, 0)
= | -1
read | -1
( | -1
) | -1
while | -1
( | -1
IDENTIFIER | (8, 0)
!= | -1
CONSTANT | (18, 0)
) | -1
{ | -1
if | -1
( | -1
IDENTIFIER | (7, 0)
> | -1
IDENTIFIER | (8, 0)
) | -1
{ | -1
IDENTIFIER | (7, 0)
= | -1
IDENTIFIER | (7, 0)
- | -1
IDENTIFIER | (8, 0)
} | -1
else | -1
if | -1
( | -1
IDENTIFIER | (8, 0)
> | -1
IDENTIFIER | (7, 0)
) | -1
{ | -1
IDENTIFIER | (8, 0)
= | -1
IDENTIFIER | (8, 0)
- | -1
IDENTIFIER | (7, 0)
} | -1
} | -1
END | -1
write | -1
( | -1
IDENTIFIER | (7, 0)
) | -1
bye | -1
